,Response_ID,Respondent_ID,Consume_frequency,Consume_time,Consume_reason,Heard_before,Brand_perception,General_perception,Tried_before,Taste_experience,Reasons_preventing_trying,Current_brands,Reasons_for_choosing_brands,Improvements_desired,Ingredients_expected,Health_concerns,Interest_in_natural_or_organic,Marketing_channels,Packaging_preference,Limited_edition_packaging,Price_range,Purchase_location,Typical_consumption_situations
0,103001,120031,2-3 times a week,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Not sure,No,5,Unfamiliar with the brand,Blue Bull,Availability,Reduced sugar content,Guarana,No,Yes,TV commercials,Compact and portable cans,Yes,50-99,Supermarkets,Studying/working late
1,103002,120032,2-3 times a month,Throughout the day,To boost performance,No,Neutral,Not sure,No,5,Not interested in energy drinks,Bepsi,Availability,More natural ingredients,Caffeine,Yes,Not Sure,Print media,Compact and portable cans,No,50-99,Supermarkets,Sports/exercise
2,103003,120033,Rarely,Before exercise,Increased energy and focus,No,Neutral,Not sure,No,2,Not available locally,Bepsi,Availability,More natural ingredients,Caffeine,No,Yes,Online ads,Innovative bottle design,Not Sure,100-150,Supermarkets,Studying/working late
3,103004,120034,2-3 times a week,To stay awake during work/study,To boost performance,No,Positive,Dangerous,Yes,5,Other,Bepsi,Other,Other,Caffeine,No,Yes,Online ads,Compact and portable cans,No,Above 150,Supermarkets,Sports/exercise
4,103005,120035,Daily,To stay awake during work/study,Increased energy and focus,Yes,Neutral,Effective,Yes,5,Other,Sky 9,Other,More natural ingredients,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,100-150,Online retailers,Studying/working late
5,103006,120036,Rarely,For mental alertness,To combat fatigue,Yes,Negative,Not sure,No,5,Health concerns,Cola-Coka,Availability,Wider range of flavors,Vitamins,Yes,Yes,TV commercials,Other,Yes,Above 150,Gyms and fitness centers,Social outings/parties
6,103007,120037,2-3 times a month,To stay awake during work/study,Increased energy and focus,No,Positive,Not sure,No,4,Health concerns,Cola-Coka,Brand reputation,Other,Guarana,Yes,No,Online ads,Innovative bottle design,Yes,100-150,Other,Sports/exercise
7,103008,120038,Rarely,Before exercise,To combat fatigue,No,Neutral,Healthy,Yes,4,Unfamiliar with the brand,Gangster,Brand reputation,Reduced sugar content,Sugar,Yes,Not Sure,Online ads,Compact and portable cans,Yes,50-99,Gyms and fitness centers,Social outings/parties
8,103009,120039,Once a week,To stay awake during work/study,To enhance sports performance,No,Neutral,Effective,Yes,3,Not available locally,Gangster,Availability,Reduced sugar content,Sugar,No,Yes,Other,Innovative bottle design,No,100-150,Other,Sports/exercise
9,103010,120040,Once a week,For mental alertness,To combat fatigue,Yes,Neutral,Healthy,No,4,Not interested in energy drinks,Sky 9,Effectiveness,Other,Caffeine,No,Yes,Other,Other,Not Sure,50-99,Gyms and fitness centers,Social outings/parties
10,103011,120041,2-3 times a week,Before exercise,To combat fatigue,No,Negative,Healthy,Yes,5,Not interested in energy drinks,CodeX,Other,Reduced sugar content,Guarana,Yes,Yes,Online ads,Compact and portable cans,Yes,50-99,Supermarkets,Sports/exercise
11,103012,120042,Rarely,To stay awake during work/study,To combat fatigue,Yes,Neutral,Dangerous,No,2,Not available locally,Others,Effectiveness,Reduced sugar content,Caffeine,Yes,Yes,Online ads,Other,Yes,100-150,Online retailers,Social outings/parties
12,103013,120043,2-3 times a week,Before exercise,To enhance sports performance,No,Neutral,Healthy,Yes,4,Not available locally,Gangster,Taste/flavor preference,More natural ingredients,Caffeine,Yes,No,Online ads,Innovative bottle design,No,50-99,Gyms and fitness centers,Studying/working late
13,103014,120044,2-3 times a week,For mental alertness,To combat fatigue,No,Neutral,Healthy,No,5,Health concerns,Others,Brand reputation,Reduced sugar content,Vitamins,Yes,Yes,Other,Innovative bottle design,No,50-99,Online retailers,Sports/exercise
14,103015,120045,2-3 times a week,To stay awake during work/study,Increased energy and focus,No,Positive,Healthy,Yes,5,Not interested in energy drinks,Bepsi,Availability,Healthier alternatives,Sugar,Yes,Yes,Outdoor billboards,Compact and portable cans,Yes,Above 150,Supermarkets,Social outings/parties
15,103016,120046,Daily,Before exercise,Increased energy and focus,No,Neutral,Effective,Yes,3,Not available locally,Bepsi,Brand reputation,Other,Caffeine,Yes,Yes,Online ads,Compact and portable cans,Yes,Above 150,Supermarkets,Studying/working late
